Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"FSB_DSTBN3#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.A16","1460","230","1D","[6]"
"FSB_DSTBN3#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.D41","1130","590","2B","[1]"
"FSB_DSTBN2#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.G20","1460","220","1D","[6]"
"FSB_DSTBN2#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.M25","1130","600","2B","[1]"
"FSB_DBSY#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.B2","220","720","5B","[6]"
"FSB_DBSY#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.T42","810","260","3C","[1]"
"FSB_DSTBN1#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.G12","1460","210","1D","[6]"
"FSB_DSTBN1#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.G34","1130","610","2B","[1]"
"FSB_DSTBN0#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.C8","1460","200","1D","[6]"
"FSB_DSTBN0#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.K43","1130","620","2B","[1]"
"FSB_DBR#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.AC2","220","700","5B","Property Not Present"
"FSB_DSTBP0#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.B9","1460","250","1D","[6]"
"FSB_DSTBP0#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.J44","1130","570","2B","[1]"
"DDR_A_CASB","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2B.74","120","760","5B","[14,8]"
"DDR_A_CASB","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3B.74","190","470","5C","[13,8]"
"DDR_A_CASB","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.BB41","270","510","5C","[13,14]"
"FSB_DSTBP1#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.E12","1460","260","1C","[6]"
"FSB_DSTBP1#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.H34","1130","560","2B","[1]"
"FSB_BR0#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.F3","220","640","5B","[6]"
"FSB_BR0#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.W44","810","240","3D","[1]"
"DDR_A_RASB","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2B.192","120","770","5B","[14,8]"
"DDR_A_RASB","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3B.192","190","480","5C","[13,8]"
